Lis Penden Filings,,,,,,,,,,,,,By Municipality
January to December 2016,,,,,,,,,,,,,
"",Year-End,,,,,,,,,,,,
Municipality,,January,February,March,April,May,June,July,August,September,October,November,December
"",2016,,,,,,,,,,,,
Andover,8,0,1,1,0,0,0,0,3,0,1,1,1
Ansonia,81,7,6,6,12,12,3,11,4,3,4,6,7
Ashford,13,1,1,0,1,1,2,1,2,2,2,0,0
Avon,34,4,3,1,4,5,1,2,4,1,4,4,1
Barkhamsted,8,1,0,0,1,1,0,0,0,2,2,0,1
Beacon Falls,27,1,5,0,0,4,0,1,5,1,2,3,5
Berlin,34,4,4,2,6,1,3,3,4,2,1,1,3
Bethany,17,3,2,1,0,2,0,2,5,0,0,2,0
Bethel,75,7,8,4,7,6,2,6,9,7,11,3,5
Bethlehem,13,0,1,1,1,1,0,0,5,1,1,1,1
Bloomfield,121,9,10,14,7,12,6,6,16,7,17,6,11
Bolton,13,2,0,2,1,3,1,0,0,1,0,2,1
Bozrah,10,0,2,1,0,2,0,1,0,0,0,2,2
Branford,102,6,11,5,12,6,12,11,17,6,6,4,6
Bridgeport,"1,157",146,136,91,87,124,95,91,100,61,86,69,71
Bridgewater,5,0,2,0,1,0,0,0,0,0,1,1,0
Bristol,373,45,33,21,30,39,29,24,25,17,38,36,36
Brookfield,48,4,7,2,4,8,2,0,5,5,5,3,3
Brooklyn,26,8,2,4,3,2,2,0,0,1,0,1,3
Burlington,28,1,4,3,1,2,4,1,4,1,3,2,2
Canaan,4,0,0,0,0,0,0,0,1,1,0,1,1
Canterbury,19,1,1,2,3,1,0,1,2,2,2,0,4
Canton,35,8,0,1,2,4,6,0,3,2,2,3,4
Chaplin,3,1,0,0,0,0,2,0,0,0,0,0,0
Cheshire,71,6,6,7,6,6,3,4,11,4,8,6,4
Chester,12,0,2,0,0,1,1,1,1,2,1,2,1
Clinton,41,2,5,4,5,6,1,1,2,3,6,3,3
Colchester,59,2,8,4,4,4,5,10,3,2,11,2,4
Colebrook,4,0,1,0,1,0,0,0,0,1,1,0,0
Columbia,17,2,3,1,0,1,2,1,1,2,2,0,2
Cornwall,2,0,0,0,0,0,0,0,0,2,0,0,0
Coventry,61,7,5,2,3,9,3,6,10,2,6,5,3
Cromwell,50,6,4,4,8,4,3,4,3,3,7,1,3
Danbury,282,27,34,17,22,35,18,20,17,28,22,22,20
Darien,28,0,0,4,6,4,1,5,3,2,1,2,0
Deep River,13,1,3,1,1,1,1,0,1,1,1,1,1
Derby,75,6,14,6,6,8,3,3,7,6,5,6,5
Durham,21,0,2,2,2,1,0,2,5,1,1,3,2
East Granby,16,1,4,1,1,1,2,1,2,0,2,0,1
East Haddam,49,3,8,1,1,5,8,3,8,1,6,3,2
East Hampton,35,1,3,2,5,5,2,5,3,2,1,3,3
East Hartford,274,23,52,24,10,23,12,16,16,12,26,38,22
East Haven,232,34,33,15,26,26,12,13,19,12,18,14,10
East Lyme,63,3,6,8,3,10,2,3,4,10,5,8,1
East Windsor,31,1,4,2,6,1,1,2,3,5,1,5,0
Eastford,4,1,1,0,0,1,1,0,0,0,0,0,0
Easton,26,0,1,2,6,1,1,0,4,2,2,3,4
Ellington,35,3,3,1,0,4,2,4,11,2,1,0,4
Enfield,140,14,13,16,20,14,5,6,13,8,11,8,12
Essex,16,1,0,1,2,1,1,0,2,1,4,3,0
Fairfield,148,14,12,7,7,18,10,8,12,18,16,10,16
Farmington,47,1,6,3,1,4,3,5,3,4,4,6,7
Franklin,9,0,3,0,2,0,1,0,2,0,1,0,0
Glastonbury,87,3,11,8,7,11,6,4,10,9,10,4,4
Goshen,7,0,0,2,0,1,0,1,0,1,0,1,1
Granby,29,3,2,1,2,0,4,2,7,1,6,0,1
Greenwich,101,13,6,8,8,8,8,6,10,8,6,9,11
Griswold,62,3,9,5,5,5,3,16,3,3,4,3,3
Groton,79,8,8,7,4,10,6,3,4,9,9,4,7
Guilford,59,8,6,4,5,9,5,2,2,3,5,4,6
Haddam,32,2,2,6,0,2,0,1,5,1,8,2,3
Hamden,237,19,21,21,23,30,22,9,31,17,20,13,11
Hampton,8,1,0,0,1,0,0,0,1,0,3,2,0
Hartford,430,47,45,26,44,47,31,23,36,33,37,27,34
Hartland,9,2,1,1,0,1,2,2,0,0,0,0,0
Harwinton,4,0,0,1,0,0,0,0,0,2,1,0,0
Hebron,39,5,8,2,5,2,0,2,3,6,5,1,0
Kent,11,0,2,0,2,3,1,0,0,0,0,1,2
Killingly,78,6,8,10,7,6,7,4,12,5,6,2,5
Killingworth,13,0,0,2,2,2,1,0,3,1,1,1,0
Lebanon,28,1,1,3,2,2,5,0,2,2,0,7,3
Ledyard,72,5,18,4,2,9,1,3,5,8,10,3,4
Lis Penden Filings,,,,,,,,,,,,,By Municipality
January to December 2016,,,,,,,,,,,,,
"",Year-End,,,,,,,,,,,,
Municipality,,January,February,March,April,May,June,July,August,September,October,November,December
"",2016,,,,,,,,,,,,
Lisbon,24,0,4,2,3,2,3,1,5,0,3,1,0
Litchfield,20,0,1,0,4,1,2,1,3,2,2,2,2
Lyme,10,1,2,1,0,3,0,2,0,1,0,0,0
Madison,42,3,5,1,4,5,3,3,4,2,4,4,4
Manchester,175,11,14,14,16,24,11,14,15,15,18,12,11
Mansfield,34,3,3,4,2,1,2,1,6,2,2,4,4
Marlborough,19,0,1,2,5,5,0,2,1,2,1,0,0
Meriden,389,38,54,19,34,49,30,33,26,19,39,16,32
Middlebury,28,3,2,1,2,5,1,1,5,3,2,1,2
Middlefield,13,1,1,1,0,0,2,2,1,2,2,0,1
Middletown,194,9,32,22,16,16,21,6,10,10,14,15,23
Milford,126,12,20,5,10,13,7,17,8,9,7,5,13
Monroe,73,5,5,4,6,9,4,5,7,8,13,2,5
Montville,62,5,6,6,8,6,1,2,5,5,3,7,8
Morris,3,0,0,0,1,0,0,0,0,1,1,0,0
Naugatuck,156,6,25,17,13,17,11,14,16,9,9,8,11
New Britain,265,25,41,16,30,27,19,10,23,15,17,21,21
New Canaan,32,2,0,4,4,0,4,4,4,0,5,2,3
New Fairfield,58,9,8,7,6,2,8,3,4,2,4,4,1
New Hartford,22,3,3,1,0,2,1,1,4,0,2,2,3
New Haven,480,53,47,37,42,45,45,31,61,27,37,38,17
New London,115,14,20,13,2,10,12,5,3,10,7,7,12
New Milford,110,9,11,5,10,8,10,10,10,7,10,7,13
Newington,64,6,5,2,5,7,2,0,10,3,12,8,4
Newtown,89,6,11,6,9,7,6,7,11,5,9,3,9
Norfolk,11,0,2,1,3,2,0,0,1,0,0,1,1
North Branford,81,6,10,4,5,11,9,4,7,7,8,4,6
North Canaan,12,2,2,0,1,1,0,0,0,0,3,2,1
North Haven,76,5,3,3,8,3,2,7,14,5,14,4,8
North Stonington,16,1,1,1,0,2,0,2,1,2,3,0,3
Norwalk,281,31,38,18,16,27,37,20,7,14,32,7,34
Norwich,230,20,19,16,15,36,20,17,16,17,21,18,15
Old Lyme,22,0,2,1,3,0,3,3,3,2,1,1,3
Old Saybrook,25,0,4,4,0,3,2,3,3,0,1,2,3
Orange,36,2,3,1,5,5,1,3,2,3,1,3,7
Oxford,44,6,9,1,4,3,1,4,2,2,5,4,3
Plainfield,86,6,6,4,9,5,10,3,12,14,11,5,1
Plainville,68,9,6,6,5,4,4,3,4,4,5,9,9
Plymouth,104,10,21,2,10,9,7,7,4,9,18,1,6
Pomfret,19,3,1,3,0,0,2,0,5,2,2,0,1
Portland,21,1,2,1,2,4,1,2,3,2,1,1,1
Preston,30,7,1,3,2,2,3,1,1,2,6,0,2
Prospect,26,0,6,2,0,3,4,1,2,0,2,3,3
Putnam,56,7,5,2,10,1,9,3,5,4,5,2,3
Redding,34,4,3,0,4,4,2,3,5,1,2,4,2
Ridgefield,58,1,6,3,6,5,6,5,8,2,2,7,7
Rocky Hill,42,11,2,3,3,5,1,0,3,4,3,2,5
Roxbury,10,2,1,2,0,0,0,1,0,2,2,0,0
Salem,28,2,3,1,2,1,3,4,4,0,4,4,0
Salisbury,10,0,1,0,1,2,1,0,1,3,0,0,1
Scotland,8,1,0,0,0,0,3,0,2,1,1,0,0
Seymour,71,5,11,12,3,6,3,8,5,4,9,3,2
Sharon,12,1,2,3,0,0,2,0,1,1,1,1,0
Shelton,139,16,11,10,10,14,11,10,13,10,15,11,8
Sherman,11,2,0,0,0,3,2,0,1,2,1,0,0
Simsbury,23,0,0,0,3,3,6,4,1,0,3,2,1
Somers,16,1,2,0,0,2,0,2,0,0,5,1,3
South Windsor,55,2,6,3,7,7,1,3,6,3,5,5,7
Southbury,74,7,8,2,7,8,3,5,5,5,11,6,7
Southington,110,10,8,6,11,10,8,11,4,10,14,5,13
Sprague,15,0,3,0,5,0,1,1,0,2,1,0,2
Stafford,63,3,9,3,5,6,4,4,11,1,6,3,8
Stamford,366,21,31,30,39,42,25,28,37,24,32,21,36
Sterling,16,1,1,2,2,0,2,1,3,1,2,1,0
Stonington,44,3,7,0,6,10,2,1,1,5,2,1,6
Stratford,261,26,30,11,18,32,14,28,21,21,12,17,31
Suffield,25,1,3,2,0,4,3,2,2,2,3,1,2
Thomaston,24,2,2,0,2,2,2,2,4,0,3,2,3
Thompson,28,3,2,0,2,1,2,2,6,0,5,3,2
Tolland,40,4,5,2,6,0,4,1,2,4,6,3,3
Torrington,187,12,15,12,13,20,12,12,15,17,28,14,17
Trumbull,115,10,4,17,11,9,10,6,11,8,7,14,8
Lis Penden Filings,,,,,,,,,,,,,By Municipality
January to December 2016,,,,,,,,,,,,,
"",Year-End,,,,,,,,,,,,
Municipality,,January,February,March,April,May,June,July,August,September,October,November,December
"",2016,,,,,,,,,,,,
Union,3,0,0,0,1,0,0,1,1,0,0,0,0
Vernon,96,10,13,17,7,10,4,9,10,3,5,6,2
Voluntown,21,0,1,1,2,0,3,4,3,3,1,0,3
Wallingford,155,12,19,19,12,23,8,12,8,9,20,7,6
Warren,5,0,1,0,0,3,0,0,0,0,1,0,0
Washington,13,0,1,3,0,2,2,3,0,0,1,1,0
Waterbury,540,33,48,42,54,57,39,40,56,45,52,38,36
Waterford,75,10,9,6,1,7,8,9,8,6,2,5,4
